covariate,treated_mean,control_mean,standardized_mean_difference,weighting
pre_active_weeks,0.8739663629992992,0.859882491186839,0.011029350527803626,unweighted
acquisition_channel_organic,0.38304134548002805,0.3780023501762632,0.010378583915996265,unweighted
acquisition_channel_paid,0.2833917309039944,0.2987544065804935,-0.033823479597095016,unweighted
acquisition_channel_partner,0.14793272599859847,0.14956521739130435,-0.004587618740862689,unweighted
acquisition_channel_referral,0.18563419761737912,0.1736780258519389,0.031147052981938234,unweighted
initial_segment_builder,0.29614576033637,0.298096357226792,-0.004268277267638572,unweighted
initial_segment_everyday,0.45686755430974074,0.4473325499412456,0.01915861052934149,unweighted
initial_segment_starter,0.2469866853538893,0.2545710928319624,-0.017497615447273084,unweighted
age_band_18-29,0.24716187806587245,0.2551821386603995,-0.01849360045188262,unweighted
age_band_30-44,0.25332866152768047,0.24662749706227968,0.015476275123717301,unweighted
age_band_45-59,0.24677645409950946,0.2510458284371328,-0.009873992316618124,unweighted
age_band_60+,0.2527330063069376,0.247144535840188,0.012907077935214041,unweighted
region_group_north,0.6670637701471619,0.27445358401880143,0.8554881528267341,unweighted
region_group_south,0.3329362298528381,0.7255464159811986,-0.8554881528267342,unweighted
pre_active_weeks,0.8672801201449958,0.8645944169997016,0.002105060262674256,stabilized_iptw
acquisition_channel_organic,0.38246513504695606,0.3841617553762,-0.0034896033177552123,stabilized_iptw
acquisition_channel_paid,0.28940845187170755,0.28891505001944057,0.001088290962523488,stabilized_iptw
acquisition_channel_partner,0.14809336462288075,0.14785079156314035,0.0006831652879490955,stabilized_iptw
acquisition_channel_referral,0.1800330484584557,0.17907240304121907,0.002502892033005635,stabilized_iptw
initial_segment_builder,0.29683139010938187,0.29672549124920794,0.00023180832339381838,stabilized_iptw
initial_segment_everyday,0.45280769338717936,0.4526690238221422,0.0002785864615299549,stabilized_iptw
initial_segment_starter,0.2503609165034387,0.2506054849286498,-0.0005644434226731673,stabilized_iptw
age_band_18-29,0.24944375770915816,0.2483632785509959,0.002498925745991428,stabilized_iptw
age_band_30-44,0.2511626922560083,0.251754396182621,-0.0013638400043395036,stabilized_iptw
age_band_45-59,0.24881801763565448,0.2490332907976819,-0.0004978673092404249,stabilized_iptw
age_band_60+,0.25057553239917907,0.2508490344687011,-0.000631027848279113,stabilized_iptw
region_group_north,0.4993865721314162,0.49956460036951833,-0.0003560566776849261,stabilized_iptw
region_group_south,0.5006134278685839,0.5004353996304816,0.00035605667768525914,stabilized_iptw
