relative_week,treatment,active_rate,customers
-4,0,0.22801410105757933,21275
-4,1,0.23444288717589348,28540
-3,0,0.22044653349001175,21275
-3,1,0.2231604765241766,28540
-2,0,0.21024676850763807,21275
-2,1,0.21054660126138752,28540
-1,0,0.20117508813160986,21275
-1,1,0.20581639803784163,28540
0,0,0.20122209165687427,21275
0,1,0.2110021023125438,28540
1,0,0.18237367802585194,21275
1,1,0.1966362999299229,28540
2,0,0.17245593419506464,21275
2,1,0.18791170287316047,28540
3,0,0.1663924794359577,21275
3,1,0.18227049754730204,28540
