cohort_month,cohort_size,retention,horizon_days,window_start_day,window_end_day,analysis_end
2025-01,11653,0.26345147172401956,7,7,13,2026-01-25
2025-02,10348,0.29348666408967916,7,7,13,2026-01-25
2025-03,11489,0.3245713290973975,7,7,13,2026-01-25
2025-04,11265,0.2924988903683977,7,7,13,2026-01-25
2025-05,11343,0.31852243674512914,7,7,13,2026-01-25
2025-06,10894,0.26886359463925097,7,7,13,2026-01-25
2025-07,11502,0.3220309511389324,7,7,13,2026-01-25
2025-08,11542,0.2925836076936406,7,7,13,2026-01-25
2025-09,9964,0.3008831794460056,7,7,13,2026-01-25
2025-01,11653,0.18990817815154895,30,30,36,2026-01-25
2025-02,10348,0.23492462311557788,30,30,36,2026-01-25
2025-03,11489,0.2727826616763861,30,30,36,2026-01-25
2025-04,11265,0.22174877940523746,30,30,36,2026-01-25
2025-05,11343,0.271356783919598,30,30,36,2026-01-25
2025-06,10894,0.19184872406829448,30,30,36,2026-01-25
2025-07,11502,0.2683881064162754,30,30,36,2026-01-25
2025-08,11542,0.22777681511003292,30,30,36,2026-01-25
2025-09,9964,0.24528301886792453,30,30,36,2026-01-25
2025-01,11653,0.15747017935295632,60,60,66,2026-01-25
2025-02,10348,0.19568998840355625,60,60,66,2026-01-25
2025-03,11489,0.2383149099138306,60,60,66,2026-01-25
2025-04,11265,0.19094540612516644,60,60,66,2026-01-25
2025-05,11343,0.23609274442387376,60,60,66,2026-01-25
2025-06,10894,0.20020194602533506,60,60,66,2026-01-25
2025-07,11502,0.23621978786298034,60,60,66,2026-01-25
2025-08,11542,0.18627620862935365,60,60,66,2026-01-25
2025-09,9964,0.2044359694901646,60,60,66,2026-01-25
2025-01,11653,0.11859606968162704,90,90,96,2026-01-25
2025-02,10348,0.16264012369540007,90,90,96,2026-01-25
2025-03,11489,0.19636173731395248,90,90,96,2026-01-25
2025-04,11265,0.15206391478029294,90,90,96,2026-01-25
2025-05,11343,0.19298245614035087,90,90,96,2026-01-25
2025-06,10894,0.12814393243987515,90,90,96,2026-01-25
2025-07,11502,0.19579203616762303,90,90,96,2026-01-25
2025-08,11542,0.15188009010570092,90,90,96,2026-01-25
2025-09,9964,0.1655961461260538,90,90,96,2026-01-25
